id,text,aspectTerm,from,to,polarity
2096,"The price premium is a little much, but when you start looking at the features it is worth the added cash.",price premium,4.0,17.0,negative
2096,"The price premium is a little much, but when you start looking at the features it is worth the added cash.",features,70.0,78.0,positive
633,*5 weeks after giving the computer for repair*-Apple offers to send replacement after they receive the old computer.,,,,
714,I can't say enough of how satisfied I am with their product and help aftermarket.,product and help aftermarket,52.0,80.0,positive
1404,My computer was one of the best in the school compared to my fellow classmates.,,,,
862,I bought for my son in the 2nd grade.,,,,
1023,This has happened three times so far.,,,,
827,"I'm a professional consultant, and a client needed work on her machine.",,,,
923,compresses itself and you can't use it.,,,,
1973,Microsoft word was not on it andI had to buy it seperately.,Microsoft word,0.0,14.0,negative
2304,"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",usb ports,9.0,18.0,neutral
2304,"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",sd memory card reader,22.0,43.0,neutral
2304,"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",sd memory car expansion,51.0,74.0,neutral
1313,"Who knows what will happen later on when they dismantle the whole damn thing?  So, I said I wanted a new set.",,,,
2276,"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",LaCie 2Big external drive,12.0,37.0,neutral
2276,"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",firewire 800 interface,46.0,68.0,positive
2276,"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",Time Machine,90.0,102.0,neutral
3054,"If you already own a 2009, 2010, or early 2011 model, you should wait until the next update.",,,,
1953,"My Toshiba did not have sound on everything, just certain things.",sound,24.0,29.0,negative
2755,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",extra features,64.0,78.0,positive
2755,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",windows 7 home premium,91.0,113.0,positive
184,"So, I must say I am not a happy camper.",,,,
622,"-Called MacHouse Amsterdam to ask for a temporary replacement, no answer.",,,,
744,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,Acer screen,35.0,46.0,negative
744,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,USB port,114.0,122.0,negative
744,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,boot,21.0,25.0,negative
1281,I bought it during the recent Comex IT show.,,,,
1963,The battery life was shorter than expected.,battery life,4.0,16.0,negative
70,It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.,fires up,3.0,11.0,positive
1611,It doesnt overheat or make any loud noises.,,,,
2342,Look up recipes and keep it on the kitchen counter while I cook.,,,,
151,The keyboard is top notch.,keyboard,4.0,12.0,positive
1319,Do you think the shop will give me a new set?? It will NOT!,,,,
2850,I have had nothing but problems since the day I took it out of the box!,,,,
2556,My Macbook was worth (after 3 years of use!) $375.,,,,
1734,It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.,software,134.0,142.0,negative
1617,The online tutorial videos make it super easy to learn if you have always used a PC.,online tutorial videos,4.0,26.0,positive
912,Bought this gateway M-50 or 150 early 2007.,,,,
1476,"The image is great, and the soud is excelent.",image,4.0,9.0,positive
1476,"The image is great, and the soud is excelent.",soud,28.0,32.0,positive
1623,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,windows,70.0,77.0,negative
1623,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,boot up,81.0,88.0,negative
1623,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,shut down,92.0,101.0,negative
1623,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,windows,138.0,145.0,negative
451,It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,Mac OS,83.0,89.0,positive
451,It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,use,37.0,40.0,positive
1544,"This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.",,,,
149,"With all the goodies inside this machine, it is a value.",,,,
1222,I took it back for a full refund.,,,,
2956,"It is well worth the money it cost, Very good investment.",cost,30.0,34.0,positive
720,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Starter,15.0,32.0,neutral
720,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Home Premium,39.0,61.0,neutral
720,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Professional,66.0,88.0,neutral
740,This computer had exactly the specifications I needed.,specifications,30.0,44.0,positive
2442,"Overall, still a very nice machine.",,,,
2125,"Where you click and hold and drag it picture, link, etc to where you want it.",,,,
2564,My kids (and dogs) destroyed two power cords by pulling on them.,power cords,33.0,44.0,neutral
3016,"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",multi-touch features,131.0,151.0,positive
806,I had this computer for one month and had to send it in for repair.,,,,
2778,"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",screen,4.0,10.0,negative
2778,"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",clicking buttons,46.0,62.0,negative
2174,"Not to mention, the battery life is absolutely amazing.",battery life,20.0,32.0,positive
157,"I realize that not every unit has this issue, but the ones that do cannot be repaired.",,,,
1522,I have had a Mac for 6 years and won't go back to PC.,,,,
2535,i love to use it it is esay and light.,,,,
1378,Windows also shuts the computer down for no reason without warning.,Windows,0.0,7.0,negative
2999,not using wired lan not sure what thats about.,wired lan,10.0,19.0,neutral
1930,After about another month I had to send it in AGAIN to Acer for repairs.,,,,
222,The macbook rarely requires a hard reboot.,hard reboot,30.0,41.0,conflict
2802,I LOVE it!,,,,
1512,The #1 reason that is always repeated.,,,,
1189,Now for the hardware problems.,hardware,12.0,20.0,negative
1356,"Unfortunately, that is not the case.",,,,
2070,Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,hard drive,123.0,133.0,negative
2076,It's fast and has excellent battery life.,battery life,28.0,40.0,positive
603,It's face and depanable.,,,,
1513,No Viruses!,,,,
1787,"I'm just really happy that I waited to buy, because this thing kicks a$$!",,,,
930,"The Hewitt Packard Pavillion dv6700 was my first laptop, before this I had a Dell desktop that I loved.",,,,
612,Apple care included.,Apple care,0.0,10.0,neutral
470,It was an all around waste of money for me.,,,,
1320,I worked in IT retail sales before.,,,,
2706,Features like the font are very block-like and old school.,font,18.0,22.0,negative
2706,Features like the font are very block-like and old school.,Features,0.0,8.0,negative
2997,It has everything you need to get the job done.,,,,
2954,"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",programs,18.0,26.0,negative
2954,"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",run,82.0,85.0,negative
1874,"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.",plastic pieces,74.0,88.0,negative
2834,it cant fuction well with lots of webpages open at once.,,,,
1546,"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",2GB RAM stick,39.0,52.0,neutral
1939,This laptop has left me with a HORRIBLE taste in my mouth for Acer brand products.,,,,
2840,its not bad just VERY VERY annoying.,,,,
484,"Well, maybe more like week one.",,,,
2003,Windows is also rather unsteady on its feet and is susceptible to many bugs.,Windows,0.0,7.0,negative
1180,"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.",Microsoft Word for Mac,180.0,202.0,neutral
875,"I believe I purchased this in Dec 09 for my primary work laptop which is used 5-10 hours a day, 4-6 days a week.",,,,
809,DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,WARRANTY COMPANY,51.0,67.0,negative
799,then on top of it all their cusromer service center is in the middle east.,cusromer service center,28.0,51.0,negative
1668,The only bad part is the size/weight.,size,25.0,29.0,negative
1668,The only bad part is the size/weight.,weight,30.0,36.0,negative
274,The little battery that it did have would only last about an hour while just having it on the desktop.,battery,11.0,18.0,negative
2128,I liked the aluminum body.,aluminum body,12.0,25.0,positive
2237,also it is light weight compared to others.,,,,
2456,Its good for playing my apps on Facebook or watching movies.,watching movies,44.0,59.0,positive
2456,Its good for playing my apps on Facebook or watching movies.,playing,13.0,20.0,positive
353,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",build quality,9.0,22.0,negative
353,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",performance,30.0,41.0,negative
2290,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock,11.0,15.0,positive
2290,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,69.0,76.0,neutral
2290,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,86.0,93.0,positive
1121,"Sorry, newegg.",,,,
134,Be safe buy a Sony.,,,,
347,pretty much everything else about the computer is good it just stops working out of no were.,working,69.0,76.0,negative
1813,Originally bought it for my wife.,,,,
655,It was truly a great computer costing less than one thousand bucks before tax.,costing,30.0,37.0,positive
2510,"Waiting for the i7 was well worth it, great value for the price.",price,58.0,63.0,positive
2510,"Waiting for the i7 was well worth it, great value for the price.",i7,16.0,18.0,positive
1615,I bought this laptop on Saturday and am completely in love with it!,,,,
844,"I  asked how they would determine that since there are no scratches, dents  or other signs of damage and was told that was the only way this type of  damage could happen.",,,,
884,"Now,,,,,my monitor has been acting up for about 2 months.",monitor,11.0,18.0,negative
2785,"Also, the extended warranty was a problem.",extended warranty,10.0,27.0,negative
2443,Boots up fast and runs great!,Boots up,0.0,8.0,positive
2443,Boots up fast and runs great!,runs,18.0,22.0,positive
81,Lightweight and the screen is beautiful!,screen,20.0,26.0,positive
89,"Buy it, love it, and I promise you won't regret it.",,,,
2114,I needed a driver for my HP and they would not help me with out me paying over $50 for it.,driver,11.0,17.0,neutral
1670,"If you don't like fingerprints, this might not be the laptop for you.",,,,
764,"Call tech support, standard email the form and fax it back in to us.",tech support,5.0,17.0,neutral
525,"Just a month and a half or two months ago, my VAIO crashed again.",,,,
435,They sent it back with a huge crack in it and it still didn't work.,work,62.0,66.0,negative
914,"A coupla months later, they change my hard drive.",hard drive,39.0,49.0,negative
177,I did contact HP and share how unhappy I am.,,,,
1776,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,30.0,42.0,positive
1776,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,74.0,83.0,positive
330,"The 13"" MacBook Pro is portable, durable, and very capable.",,,,
865,I should have spent an extra hundred bucks and got a full sized computer.,,,,
1791,Great overall.,,,,
549,My smart phone is faster!,,,,
1212,They say sorry out of warranty.,warranty,22.0,30.0,negative
2169,I have full control at all times of what is going on - there is no control+alt+delete business anymore.,,,,
2845,I bought this laptop because of the performance to price ratio.,performance,36.0,47.0,positive
2845,I bought this laptop because of the performance to price ratio.,price,51.0,56.0,positive
756,PC never worked right even after BIOS fixed.,BIOS,33.0,37.0,negative
2600,"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",design,114.0,120.0,positive
2600,"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",tech issues,141.0,152.0,positive
2327,"I have a laptop as my regular computer, but found that disconnecting it and lugging it around was a drag.",,,,
3012,This is my second MacBook.,,,,
1696,The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,size,4.0,8.0,positive
1696,The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,space,107.0,112.0,negative
1479,The service I received from Toshiba went above and beyond the call of duty.,service,4.0,11.0,positive
2909,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",memory,96.0,102.0,negative
2909,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",speed,107.0,112.0,negative
2909,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",priced,21.0,27.0,negative
2937,I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,41.0,55.0,positive
1784,I own other Macs but always find myself navigation to the MacBook Pro to get my work done.,,,,
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs,18.0,26.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Garageband,92.0,102.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Photo Booth,123.0,134.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iPhoto,136.0,142.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iMovie,176.0,182.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",video-editing,145.0,158.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",movie-making,162.0,174.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",photo management,105.0,121.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",music,85.0,90.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Pages,53.0,58.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Numbers,60.0,67.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Keynote,69.0,76.0,neutral
453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",school or office use,31.0,51.0,neutral
439,This is my 3rd Apple Laptop and first MacBook Pro.,,,,
2925,I have had this laptop for a few months now and i would say im pretty satisfied.,,,,
929,The love part of my relationship with this laptop doesn't take very long.,,,,
2804,Not enough time for me to give it 5 stars!,,,,
2077,The screen shows great colors.,screen,4.0,10.0,positive
2077,The screen shows great colors.,colors,23.0,29.0,positive
2622,"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,90.0,95.0,positive
2622,"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",price,117.0,122.0,positive
2622,"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,220.0,225.0,positive
1093,That's a huge difference.,,,,
225,"Dells are ok, HPs aren't that good, but Macs or Fantastic.",,,,
1100,"So, buyers beware!",,,,
2523,I am totally satisfied with my little toshie!,,,,
970,"I have no idea how to burn cd's or to use the web cam, just for starters.",web cam,46.0,53.0,neutral
970,"I have no idea how to burn cd's or to use the web cam, just for starters.",burn cd's,22.0,31.0,neutral
1935,"Again, I sent it off to Acer, by this time they were paying for me to send it to them and everything, but it was still inconvienent because of my classes and my communication with my fiance.",,,,
11,DEFINITELY recommended!!!,,,,
2569,It is extremely user friendly and intuitive.,,,,
3010,Let me start with the good:So awesome.,,,,
1634,I had finally reached my limit and broke down.,,,,
2414,"The 17 inch screen is very large, but the computer is very light.",17 inch screen,4.0,18.0,negative
832,"My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,89.0,96.0,negative
1205,"Do I like the computer? Well, other than not getting viruses, I guess it is OK.",,,,
1064,"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Bluetooth,8.0,17.0,neutral
1064,"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Drivers/Applications DVD,79.0,103.0,neutral
1064,"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Launch Manager,57.0,71.0,neutral
2037,I waited and waited and no laptop.,,,,
1429,Everything is falling apart internally and externally.,,,,
2130,I also liked the glass screen.,glass screen,17.0,29.0,positive
2626,The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,4.0,27.0,positive
2626,The switchable graphic card is pretty sweet when you want gaming on the laptop.,gaming,58.0,64.0,neutral
1671,"It super shiny, so you can see the fingerprints easily.",,,,
1315,"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.",service,149.0,156.0,negative
2756,"The battery life has not decreased since I bought it, so i'm thrilled with that.",battery life,4.0,16.0,positive
548,Its a dog plain and simple.,,,,
1446,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,136.0,153.0,negative
168,My HP is very heavy.,,,,
922,I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.,BOOT MGR,87.0,95.0,neutral
2797,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd,54.0,65.0,negative
2863,The price and features more than met my needs.,price,4.0,9.0,positive
2863,The price and features more than met my needs.,features,14.0,22.0,positive
638,They refuse.,,,,
2642,big mistake!,,,,
1000,Best Buy was great as always and accepted the return and gave me another model 1764.,,,,
200,and dell and best buy both refused to take it back after i only had it for 1 hour....,,,,
2887,My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA!,,,,
993,"First of all, I've been Dell fan for more than fifteen years.",,,,
2464,GREAT INVESTMENT!,,,,
1667,I am just amazed.,,,,
416,"I burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so I can place it there.",,,,
2041,I thought all my problems would finally be solved being that my old computer wouldn't go onto our wireless network and I wouldn't have the same problems because it was updated.,,,,
240,Skype is just so dang cool with this machine too.,Skype,0.0,5.0,positive
2135,I would buy this lap top over and over again!,,,,
1393,the mouse buttons are hard to push.,mouse buttons,4.0,17.0,negative
2259,"I can actually get work done with this MAC, and not fight with it like my tired old PC laptop.",,,,
1080,"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD,6.0,9.0,positive
1080,"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",rails,31.0,36.0,neutral
1080,"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",hard drive,76.0,86.0,neutral
2695,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",,,,
1506,I also travel with it and it never gives me any problems.,,,,
1837,Just don't waste your time and money on this.,,,,
532,All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,83.0,90.0,positive
3047,"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff,15.0,20.0,negative
921,"And I'm still paying the bloody financing, for a product which didn't last me at least three years !",,,,
1733,Games being the main issue.,Games,0.0,5.0,negative
2907,"No problems, no lock ups, no disappointments.",,,,
1178,"While the computer seems to be set up in a common sense way rather than in geek-speak, there are certain quirks that can drive you crazy trying to deal with the PC world.",,,,
2265,"I am definitely sold, and not going back to PCs for home use!",,,,
119,"I have a lapdesk which I can use, but I can still feel the heat through the foam and plastic.",,,,
68,and its really cheap and you wont regret buying it.,,,,
2746,It was over rated!,,,,
282,I dont understand how anyone can think this is a great product worth purchasing.,,,,
1532,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,GarageBand,63.0,73.0,neutral
2800,I wasn't really sure I wanted to spend that kind of money!,,,,
1042,Other Thoughts: Do not purchase this product.,,,,
640,They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,warranty,39.0,47.0,negative
640,They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,hard drive,55.0,65.0,neutral
2238,and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,129.0,134.0,negative
1907,I took the computer back in yet again except this time they kept it to send into their Geek Squad headquarters.,,,,
78,This is a great laptop and I would recommend it to anyone.,,,,
891,"Thank God for ""ctrl Z""Bottom line, I've been using laptops since the mid 90s and probably the majority of brands out there.",,,,
692,They definitely have a superior product!,,,,
1580,A great computer for light home use and business use.,home use,27.0,35.0,positive
1580,A great computer for light home use and business use.,business use,40.0,52.0,positive
2817,Bought it to use mostly for oline classes.,,,,
273,"Even with virus protection, it always turned off when updates were needed and installed.",virus protection,10.0,26.0,negative
273,"Even with virus protection, it always turned off when updates were needed and installed.",updates,54.0,61.0,negative
2679,"Also consider the MS Office apps are all trial versions, hope you have your own copies.",MS Office apps,18.0,32.0,negative
415,"They are wonderful, but very dangerous when it comes to emitting heat.",,,,
2046,This computer was awful!,,,,
2450,"Heck, if I had enough ' money, I would but it as a gift for someone.",,,,
2170,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",feature,74.0,81.0,positive
2170,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",Windows,103.0,110.0,positive
2170,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",games,31.0,36.0,neutral
2624,The battery life is amazingly long at 7hrs and 5hrs if you use it.,battery life,4.0,16.0,positive
1822,My previous purchases were with Dell and HP.,,,,
2374,I have not have any problems.,,,,
1896,I purchased an HP right after my high school graduation.,,,,
341,Me and my boyfriend bought the Gateway NV78 in nov of 09.,,,,
2245,It is very user friendly and not hard to figure out at all.,,,,
1569,"lightweight, long battery life, excellent transition from PC;",battery life,18.0,30.0,positive
3064,The price is another driving influence that made me purchase this laptop.,price,4.0,9.0,positive
2953,The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,Nortons virus scan,4.0,22.0,negative
2129,It is stamped and not in pieces therefore it is a stronger more resilient frame.,frame,74.0,79.0,positive
2075,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,features,43.0,51.0,positive
2075,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,use,64.0,67.0,positive
2180,"Two, owning a 17 in.mac book gives the flexibility to sit anywhere you want without worry about bother anyone.",,,,
1362,Sent unit back and it's been two months.,,,,
2710,Came fully loaded - good.,loaded,11.0,17.0,positive
1373,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Windows 7,42.0,51.0,neutral
1373,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Vista,67.0,72.0,neutral
1373,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Vista,117.0,122.0,negative
1373,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",windows,10.0,17.0,neutral
1370,"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Windows XP,62.0,72.0,conflict
1370,"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Vista,133.0,138.0,neutral
1697,(I definatly can't).,,,,
276,"Files as well would become lost, deleted or corrupted.",,,,
1287,It is meant to be PORTABLE.,,,,
1929,My laptop worked again for just a while before I started having issues AGAIN.,,,,
2365,This is perfect for her field.,,,,
412,taking it back less than 24 hours of purchase,,,,
2742,That's the downside for me.,,,,
1758,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",key broad,35.0,44.0,negative
1257,Hopefully Amazon will take this back.,,,,
1908,They ended up keeping my computer for almost 3 months!,,,,
842,"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.",warranty,30.0,38.0,negative
842,"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.","repair ""depot""",47.0,61.0,negative
931,But I needed a laptop for school use.,school use,28.0,38.0,neutral
863,he can't stand it.,,,,
2151,The computer was delivered as promised.,,,,
36,This is the complete opposite to an ergonomic design.,design,46.0,52.0,negative
2967,I would like at least a 4 hr. battery life.,battery life,30.0,42.0,neutral
1732,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,programs,74.0,82.0,negative
1800,"Looking online, many people are having the same problem.",,,,
1063,"Wireless has not been a issue for me, like some others have meantioned.",Wireless,0.0,8.0,positive
2615,THIS IS MY SECOND MAC BOOK PRO.,,,,
271,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life,57.0,69.0,negative
271,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",programs,102.0,110.0,negative
2478,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",trackpad,35.0,43.0,positive
2478,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",programs,88.0,96.0,positive
2478,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",navigating,49.0,59.0,positive
523,I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers,60.0,68.0,positive
523,I guess the only good thing that came out of these were the speakers and the subwoofer.,subwoofer,77.0,86.0,positive
1657,Theres a built in camera with special effects- for video and photography.,built in camera,9.0,24.0,positive
1674,All for such a great price.,price,21.0,26.0,positive
472,I went right out and purchased another laptop.,,,,
1143,"Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",warranty,220.0,228.0,neutral
2618,I am able to play 720p and 1080p media files just fine with it.,,,,
1708,"I already own an iPhone, and so the move just made more sense.",,,,
2771,So think about factoring those things in when you purchase.,,,,
2375,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,,,,
203,Everything was up and running within 15 minutes of unboxing.,,,,
123,"This computer gets very hot, before shutting down.",,,,
2927,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,left mouse key,45.0,59.0,negative
2927,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,costed,73.0,79.0,neutral
916,Went silently.,,,,
2750,Satisfy what I paid for it.,,,,
1137,IT IS TRASH!,,,,
2993,It has good speed and plenty of hard drive space.,speed,12.0,17.0,positive
2993,It has good speed and plenty of hard drive space.,hard drive space,32.0,48.0,positive
2453,Clear picture on it and everything.,picture,6.0,13.0,positive
2661,"Overall though, for the money spent it's a great deal.",,,,
2590,So you don't get frustrated the first few weeks.,,,,
515,"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty,45.0,62.0,neutral
